order_id,customer_id,product_id,order_date,quantity,order_amount,order_status
50001,1001,2001,2025-01-03,2,2500,Completed
50002,1002,2003,2025-01-04,1,1800,Completed
50003,1003,2002,2025-01-05,3,900,Completed
50004,1004,2005,2025-01-07,1,4500,Completed
50005,1005,2004,2025-01-08,2,3200,Shipped
50006,1006,2006,2025-01-10,1,5200,Completed
50007,1007,2001,2025-01-12,1,1250,Completed
50008,1008,2007,2025-01-15,4,2800,Completed
50009,1009,2008,2025-01-17,2,3600,Cancelled
50010,1010,2003,2025-01-20,1,1800,Completed
50011,1011,2009,2025-01-22,2,3000,Completed
50012,1012,2005,2025-01-25,1,4500,Shipped
50013,1001,2006,2025-02-02,1,5200,Completed
50014,1002,2004,2025-02-05,3,4800,Completed
50015,1004,2007,2025-02-08,2,1400,Completed
50016,1006,2008,2025-02-12,1,1800,Returned
50017,1009,2002,2025-02-15,5,1500,Completed
50018,1011,2010,2025-02-18,1,6500,Completed
50019,1012,2001,2025-02-20,2,2500,Completed
50020,1003,2009,2025-02-23,1,1500,Shipped
